"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Workers eligible for leave program",1,0,"[     1.00000 ,     1.00000 ]",371975.2524,2616.12922377165,"[     366,848 ,     377,103 ]"
"Participated for own leave",0.080899278663948,0.0026980888467814,"[     0.07561 ,     0.08619 ]",30092.5296,1044.31108122379,"[      28,046 ,      32,139 ]"
"Participated for matdis leave",0.0269515090999102,0.0014791588953441,"[     0.02405 ,     0.02985 ]",10025.2944,555.907586857952,"[       8,936 ,      11,115 ]"
"Participated for bond leave",0.0101893262402421,0.00088825322681891,"[     0.00845 ,     0.01193 ]",3790.1772,331.847318746751,"[       3,140 ,       4,441 ]"
"Participated for illchild leave",0.000587361655352962,0.000207279730657333,"[     0.00018 ,     0.00099 ]",218.484,76.78863893827,"[          68 ,         369 ]"
"Participated for illspouse leave",0.00149077982049109,0.000322162470307725,"[     0.00086 ,     0.00212 ]",554.5332,120.096369320475,"[         319 ,         790 ]"
"Participated for illparent leave",0.0008894333638202,0.000228056922941961,"[     0.00044 ,     0.00134 ]",330.8472,84.7523786813798,"[         165 ,         497 ]"
"Participated for any reason",0.117170259362125,0.0029722371932766,"[     0.11134 ,     0.12300 ]",43584.4368,1178.75446714153,"[      41,274 ,      45,895 ]"
"Num of Days Participated for own leave",9.50500622320564,0.270643152788182,"[     8.97455 ,    10.03547 ]",286029.68112,12598.8252717335,"[     261,336 ,     310,723 ]"
"Num of Days Participated for matdis leave",12.1359900373599,0.402267386397187,"[    11.34755 ,    12.92443 ]",121666.87296,7621.32426077991,"[     106,729 ,     136,605 ]"
"Num of Days Participated for bond leave",3.74180620367829,0.0503366058583587,"[     3.64315 ,     3.84047 ]",14182.10856,1274.2050548189,"[      11,685 ,      16,680 ]"
"Num of Days Participated for illchild leave",2.99333333333333,0.404434540688169,"[     2.20064 ,     3.78603 ]",653.99544,245.583787582164,"[         173 ,       1,135 ]"
"Num of Days Participated for illspouse leave",3.03377110694184,0.133794651710742,"[     2.77153 ,     3.29601 ]",1682.3268,373.294452921552,"[         951 ,       2,414 ]"
"Num of Days Participated for illparent leave",2.98867924528302,0.338288607003488,"[     2.32563 ,     3.65172 ]",988.79616,295.203353404836,"[         410 ,       1,567 ]"
"Benefits Received ($), total",4455.82434674199,124.9202393189,"[ 4,210.98068 , 4,700.66802 ]",191589981.06968,7564888.8411991,"[ 176,762,799 , 206,417,163 ]"
